a_o,codigo_departamento,departamento,codigo_municipio,municipio,hectareas_con_permisos,hectareas_en_transito_a,hectareas_explotacion_ilicita,total_evidencia_explotacion
2019,19,CAUCA,19318,GUAPI,0.0,0.545304,459.422207,459.967511
2019,19,CAUCA,19392,LA SIERRA,0.0,0.0,32.066384,32.066384
2019,19,CAUCA,19418,LÓPEZ,0.0,0.0,535.262906,535.262906
2019,19,CAUCA,19450,MERCADERES,0.0,0.0,87.739826,87.739826
2019,19,CAUCA,19532,PATÍA,0.0,0.0,5.318591,5.318591
2019,19,CAUCA,19533,PIAMONTE,0.0,0.0,45.517493,45.517493
2019,19,CAUCA,19698,SANTANDER DE QUILICHAO,0.0,0.0,58.183251,58.183251
2019,19,CAUCA,19809,TIMBIQUÍ,684.002512,127.445117,530.722375,1342.170004
2019,23,CORDOBA,23068,AYAPEL,82.555814,20.639962,4694.922851,4798.118627
2019,23,CORDOBA,23350,LA APARTADA,0.0,0.0,10.935001,10.935001
2019,23,CORDOBA,23580,PUERTO LIBERTADOR,45.427501,0.0,0.0,45.427501
2019,23,CORDOBA,23682,SAN JOSÉ DE URÉ,104.303313,0.0,17.41113,121.714443
2019,27,CHOCÓ,27001,QUIBDÓ,28.537451,4.060448,1814.740913,1847.338812
2019,27,CHOCÓ,27006,ACANDÍ,0.0,0.0,67.230001,67.230001
2019,27,CHOCÓ,27050,ATRATO (Yuto),0.0,59.644588,920.124297,979.768885
2019,27,CHOCÓ,27073,BAGADÓ,44.032876,0.0,245.875465,289.908341
2019,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO (Managrú),0.0,116.272156,4952.979984,5069.25214
2019,27,CHOCÓ,27150,CARMEN DEL DARIÉN  (Curbaradó),0.0,0.0,1.629906,1.629906
2019,27,CHOCÓ,27160,CÉRTEGUI,12.490782,117.163018,1415.182113,1544.835913
2019,27,CHOCÓ,27205,CONDOTO,333.783937,891.994612,1252.432302,2478.210851
2019,27,CHOCÓ,27361,ISTMINA,2022.000363,5.49485,2475.530757,4503.02597
2019,27,CHOCÓ,27413,LLORÓ,0.0,6.624512,613.476328,620.10084
2019,27,CHOCÓ,27425,MEDIO ATRATO (Beté),50.537179,286.006372,1775.778386,2112.321937
2019,27,CHOCÓ,27430,MEDIO BAUDÓ(Boca de Pepé),2.339692,0.0,2.809561,5.149253
2019,27,CHOCÓ,27450,MEDIO SAN JUAN (Andagoya),0.0,52.554107,1342.981531,1395.535638
2019,27,CHOCÓ,27491,NÓVITA,1366.125127,185.985242,3774.365754,5326.476123
2019,27,CHOCÓ,27580,RIO IRÓ (Santa Rita),8.926679,6.524409,339.02283,354.473918
2019,27,CHOCÓ,27600,RIO QUITO (Paimadó),26.156987,242.171353,3210.899125,3479.227465
2019,27,CHOCÓ,27615,RIOSUCIO,3.258348,0.0,240.249241,243.507589
2019,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,0.0,0.0,37.912504,37.912504
2019,27,CHOCÓ,27745,SIPÍ,75.110863,0.0,567.34596,642.456823
2019,27,CHOCÓ,27787,TADÓ,26.945114,134.409538,843.182748,1004.5374
2019,27,CHOCÓ,27800,UNGUÍA,0.0,0.0,37.642498,37.642498
2019,27,CHOCÓ,27810,UNIÓN PANAMERICANA ( Animas),240.811994,1212.284412,1611.80572,3064.902126
2019,52,NARIÑO,52079,BARBACOAS,0.0,269.538177,1400.92174,1670.459917
2019,52,NARIÑO,52250,EL CHARCO,0.0,0.0,220.725843,220.725843
2019,52,NARIÑO,52385,LA LLANADA,0.0,0.0,17.077499,17.077499
2019,52,NARIÑO,52418,LOS ANDES,0.0,0.0,19.41208,19.41208
2019,52,NARIÑO,52427,MAGÜÍ (Payán),0.0,16.776701,885.929555,902.706256
2019,52,NARIÑO,52621,ROBERTO PAYÁN (San José),0.0,6.525001,103.510966,110.035967
2019,52,NARIÑO,52696,SANTA BÁRBARA (Iscuandé),0.0,8.773344,166.017405,174.790749
2019,52,NARIÑO,52835,TUMACO,0.0,7.364397,48.644753,56.00915
2019,73,TOLIMA,73217,COYAIMA,27.584093,0.0,2.543402,30.127495
2019,76,VALLE DEL CAUCA,76109,BUENAVENTURA,0.0,0.0,596.217136,596.217136
2019,76,VALLE DEL CAUCA,76126,CALIMA,0.0,0.0,11.822867,11.822867
2019,86,PUTUMAYO,86001,MOCOA,0.0,0.0,33.345327,33.345327
2019,86,PUTUMAYO,86320,ORITO,0.0,0.0,39.8925,39.8925
2019,86,PUTUMAYO,86568,PUERTO ASÍS,0.0,0.0,8.3475,8.3475
2019,86,PUTUMAYO,86569,PUERTO CAICEDO,0.0,0.0,60.907502,60.907502
2019,86,PUTUMAYO,86571,PUERTO GUZMÁN,0.0,0.0,123.817171,123.817171
2019,86,PUTUMAYO,86885,VILLAGARZÓN,6.056318,0.0,18.738684,24.795002
2019,94,GUAINÍA,94001,INÍRIDA,0.0,0.0,12.015001,12.015001
2019,94,GUAINÍA,94884,PUERTO COLOMBIA,0.0,0.0,45.266077,45.266077
2019,94,GUAINÍA,94887,PANÁ-PANÁ (Campo Alegre),0.0,0.0,77.538921,77.538921
2020,5,ANTIOQUIA,5031,AMALFI,268.903049,35.146783,1119.003327,1423.053159
2020,5,ANTIOQUIA,5040,ANORÍ,547.850897,12.486491,1438.754114,1999.091502
2020,5,ANTIOQUIA,5055,ARGELIA,0.0,0.0,3.756435,3.756435
2020,5,ANTIOQUIA,5120,CÁCERES,1556.082706,470.064684,3258.462839,5284.610229
2020,5,ANTIOQUIA,5154,CAUCASIA,887.515838,91.075423,1068.594379,2047.18564
2020,5,ANTIOQUIA,5172,CHIGORODÓ,0.0,0.0,65.006929,65.006929
2020,5,ANTIOQUIA,5234,DABEIBA,0.0,0.0,6.66,6.66
2020,5,ANTIOQUIA,5250,EL BAGRE,2757.129797,21.670093,2064.171147,4842.971037
2020,5,ANTIOQUIA,5284,FRONTINO,8.505001,0.0,0.0,8.505001
2020,5,ANTIOQUIA,5480,MUTATÁ,158.6925,0.0,22.855571,181.548071
2020,5,ANTIOQUIA,5495,NECHÍ,4297.484377,44.238227,3654.707001,7996.429605
2020,5,ANTIOQUIA,5579,PUERTO BERRÍO,0.0,0.012796,130.967206,130.980002
2020,5,ANTIOQUIA,5585,PUERTO NARE,0.0,0.0,175.582513,175.582513
2020,5,ANTIOQUIA,5604,REMEDIOS,678.061768,209.002111,1459.477458,2346.541337
2020,5,ANTIOQUIA,5736,SEGOVIA,854.51349,35.364159,1589.449456,2479.327105
2020,5,ANTIOQUIA,5756,SONSÓN,130.516064,21.849043,129.784897,282.150004
2020,5,ANTIOQUIA,5790,TARAZÁ,266.949811,403.786267,978.381077,1649.117155
2020,5,ANTIOQUIA,5847,URRAO,5.8725,0.0,0.0,5.8725
2020,5,ANTIOQUIA,5854,VALDIVIA,0.0,129.510881,296.684515,426.195396
2020,5,ANTIOQUIA,5858,VEGACHÍ,184.610175,0.0,217.401082,402.011257
2020,5,ANTIOQUIA,5873,VIGIA DEL FUERTE,0.0,0.0,73.192504,73.192504
2020,5,ANTIOQUIA,5885,YALI,4.904999,0.0,14.398026,19.303025
2020,5,ANTIOQUIA,5893,YONDÓ (Casabe),0.0,84.589555,113.968266,198.557821
2020,5,ANTIOQUIA,5895,ZARAGOZA,6633.406001,247.452556,1961.074277,8841.932834
2020,13,BOYACA,13030,ALTOS DEL ROSARIO,7.147148,0.0,4.139485,11.286633
2020,13,BOYACA,13042,ARENAL,7.543859,0.0,67.268637,74.812496
2020,13,BOYACA,13074,BARRANCO DE LOBA,85.408602,11.940057,102.672093,200.020752
2020,13,BOYACA,13458,MONTECRISTO,622.42958,0.0,2477.364619,3099.794199
2020,13,BOYACA,13490,NOROSI,201.873725,112.495253,558.52365,872.892628
